Land,Regierungsbezirk,Kennziffer,Zulassungsbezirk,Personenkraftwagen_LW,Personenkraftwagen_G,Personenkraftwagen_Bau,Personenkraftwagen_H,Personenkraftwagen_VL,Personenkraftwagen_WD,Personenkraftwagen_SD,Personenkraftwagen_A,Personenkraftwagen_S,Personenkraftwagen,Lastkraftwagen_LW,Lastkraftwagen_G,Lastkraftwagen_Bau,Lastkraftwagen_H,Lastkraftwagen_VL,Lastkraftwagen_WD,Lastkraftwagen_SD,Lastkraftwagen_A,Lastkraftwagen_S,Lastkraftwagen
HESSEN,RB GIESSEN,6531, GIESSEN,1,73,38,1234,51,2185,1379,19501,459,24921,1,9,52,165,94,157,384,668,44,1574
HESSEN,RB GIESSEN,6532, LAHN-DILL-KREIS,2,504,85,778,103,282,467,22284,494,24999,1,89,88,90,123,59,134,635,106,1325
HESSEN,RB GIESSEN,6533, LIMBURG-WEILBURG,3,144,142,838,65,21,256,15244,500,17213,2,34,111,170,53,7,112,498,135,1122
HESSEN,RB GIESSEN,6534, MARBURG-BIEDENKOPF,4,303,78,1089,89,32,340,19039,399,21373,3,44,121,156,27,9,97,508,89,1054
HESSEN,RB GIESSEN,6535, VOGELSBERGKREIS,7,144,55,388,30,25,22,9628,187,10486,0,39,56,69,48,1,6,303,29,551
HESSEN,RB KASSEL,6631, FULDA,8,380,164,1534,48,130,215,17322,458,20259,4,115,167,372,172,42,42,584,62,1560
HESSEN,RB KASSEL,6632, HERSFELD-ROTENBURG,6,114,162,353,62,28,58,10383,140,11306,8,33,117,57,178,7,5,386,42,833
HESSEN,RB KASSEL,6633," KASSEL, LAND",3,98,47,923,138,56,678,20336,329,22608,5,29,63,69,145,10,325,507,66,1219
HESSEN,RB KASSEL,6611," KASSEL,STADT",0,180,96,1450,52,64,1074,12248,785,15949,0,54,47,127,146,4,246,368,72,1064
HESSEN,RB KASSEL,6634, SCHWALM-EDER-KREIS,17,377,62,503,60,46,107,16695,152,18019,4,60,61,86,71,2,14,555,44,897
HESSEN,RB KASSEL,6635, WALDECK-FRANKENBERG,6,308,91,698,76,49,159,14818,435,16640,2,109,95,88,25,10,52,377,49,807
HESSEN,RB KASSEL,6636, WERRA-MEISSNER-KREIS,2,85,53,451,94,43,14,8424,134,9300,4,26,42,60,35,4,13,250,35,469
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13076, LUDWIGSLUST-PARCHIM,42,119,118,485,54,71,231,16232,272,17624,41,77,135,67,73,40,127,980,54,1594
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13071, MECKLENBURGISCHE SEENPLA.,64,70,141,816,57,127,571,18531,365,20742,35,56,151,144,143,63,332,1127,88,2139
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13074, NORDWESTMECKLENBURG,10,41,66,368,18,9,504,11917,124,13057,13,12,46,42,15,2,233,775,26,1164
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13072, ROSTOCK,50,77,134,856,63,264,364,15470,363,17641,37,38,143,130,111,76,235,901,81,1752
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13003," ROSTOCK, STADT",1,55,55,798,69,261,515,9813,427,11994,0,31,40,87,48,23,212,256,65,762
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13004," SCHWERIN, STADT",1,50,51,513,21,34,190,5091,470,6421,1,13,50,38,29,23,69,155,46,424
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13075, VORPOMMERN-GREIFSWALD,27,53,68,2024,30,100,1525,16128,407,20362,35,36,101,834,38,46,196,1018,68,2372
MECKLENBURG-VORPOMMERN,RB ZUSAMMEN,13073, VORPOMMERN-RUEGEN,30,48,155,797,73,117,352,15924,500,17996,39,36,185,102,33,62,231,835,93,1616
NIEDERSACHSEN,RB BRAUNSCHWEIG,3101," BRAUNSCHWEIG,STADT",1,3894,68,1136,40,3874,1083,12818,928,23842,0,255,29,264,97,434,171,306,37,1593
NIEDERSACHSEN,RB BRAUNSCHWEIG,3151, GIFHORN,9,106,86,396,16,119,207,12608,171,13718,12,33,77,165,9,15,80,388,19,798
NIEDERSACHSEN,RB BRAUNSCHWEIG,3153, GOSLAR,19,70,66,417,27,380,87,10841,278,12185,10,12,50,70,33,108,34,282,36,635
NIEDERSACHSEN,RB BRAUNSCHWEIG,3159, Göttingen,24,601,172,1560,124,138,148,23506,710,26983,10,72,157,203,80,155,44,643,88,1452
NIEDERSACHSEN,RB BRAUNSCHWEIG,3154, HELMSTEDT,2,63,23,273,9,33,259,6931,126,7719,1,3,20,13,3,10,88,143,17,298
NIEDERSACHSEN,RB BRAUNSCHWEIG,3155, NORTHEIM,12,180,72,1445,40,70,66,11949,308,14142,4,31,83,267,47,19,18,327,60,856
NIEDERSACHSEN,RB BRAUNSCHWEIG,3157, PEINE,23,74,71,13209,48,2359,33344,10907,131,60166,6,17,58,778,36,5,1760,288,33,2981
NIEDERSACHSEN,RB BRAUNSCHWEIG,3102," SALZGITTER,STADT",0,124,33,311,19,117,160,7680,140,8584,0,32,25,37,33,17,55,185,28,412
NIEDERSACHSEN,RB BRAUNSCHWEIG,3158, WOLFENBUETTEL,10,48,39,461,9,10,311,8861,116,9865,3,5,32,57,10,7,133,190,18,455
